startBlock,startPrice,endBlock,endPrice
14768464,0.9489,14768608,0.9674
14940303,0.947,14944117,0.9604
14953652,0.9499,14958038,0.9633
14959483,0.9497,14960694,0.9601
14960882,0.9402,15016932,0.9608
